Business Unit;Job Title;Full Name;Age;Hire Date
Speciality Products;Solutions Architect;Colton Garcia;55;1993-11-17
Manufacturing;Manager;Leonardo Luong;52;1999-12-29
Research & Development;Director;Nicholas Wong;27;2019-11-07
Research & Development;Analyst II;Jeremiah Castillo;58;2006-04-12
Corporate;Analyst II;Cooper Jiang;49;2019-07-25
Research & Development;Director;Jose Richardson;26;2019-10-15
Speciality Products;Director;John Cho;47;2019-11-03
Speciality Products;Systems Analyst;Julian Delgado;29;2016-05-19
Manufacturing;Analyst II;Parker Avila;47;2005-11-28
Speciality Products;Sr. Manger;Luke Vu;52;2018-06-04
Research & Development;Network Architect;Jameson Nelson;61;2016-03-08
Research & Development;Systems Analyst;Adrian Fernandez;45;2001-08-23
Corporate;Vice President;Jordan Phillips;45;2010-12-12
Manufacturing;Manager;Wesley King;57;2019-01-19
Corporate;IT Systems Architect;Maverick Figueroa;48;2008-07-06
Speciality Products;Manager;Austin Vang;49;2018-05-20
Corporate;Director;Dylan Chin;60;2017-06-05
Research & Development;Sr. Manger;Anthony Hong;37;2010-11-29
Research & Development;Sr. Business Partner;Leo Herrera;48;1998-04-22
Manufacturing;Technical Architect;Robert Wright;30;2015-06-14
Speciality Products;Sr. Analyst;Wesley Young;33;2016-09-18
Speciality Products;Director;Oliver Yang;31;2019-06-10
