Business Unit;Job Title;Full Name;Age;Hire Date
Speciality Products;Computer Systems Manager;Eliza Zheng;48;2014-04-20
Speciality Products;Sr. Manger;Hazel Young;30;2017-08-13
Corporate;Controls Engineer;Clara Sanchez;47;2018-10-02
Manufacturing;Vice President;Claire Romero;37;2011-07-21
Speciality Products;Network Architect;Riley Rojas;36;2021-01-21
Research & Development;Systems Analyst;Hadley Ford;52;2005-02-23
Research & Development;Business Partner;Hazel Alvarez;62;2014-04-19
Manufacturing;Network Administrator;Isabella Bailey;36;2010-08-23
Speciality Products;Business Partner;Hadley Yee;31;2018-03-12
Speciality Products;Business Partner;Julia Doan;53;2017-09-07
Speciality Products;Solutions Architect;Eloise Trinh;39;2020-04-22
Corporate;HRIS Analyst;Emily Gupta;44;2006-02-23
Manufacturing;Sr. Manger;Hailey Lai;42;2011-03-18
Speciality Products;Director;Leilani Thao;38;2007-05-30
Research & Development;Account Representative;Madeline Watson;40;2009-05-27
Research & Development;Analyst;Peyton Walker;43;2019-07-13
Corporate;Analyst;Peyton Vasquez;26;2019-01-24
Manufacturing;Analyst II;Charlotte Baker;29;2016-11-17
Speciality Products;Director;Elena Mendoza;27;2018-10-24
Manufacturing;Cloud Infrastructure Architect;Nova Lin;33;2017-10-21
Research & Development;Controls Engineer;Ivy Desai;59;2001-04-09
Speciality Products;Director;Josephine Acosta;40;2020-09-20
Research & Development;Analyst II;Nora Nunez;45;2012-08-06
Speciality Products;Manager;Madelyn Chan;64;2003-05-21
Research & Development;Director;Mia Herrera;43;2014-10-16
Research & Development;Enterprise Architect;Peyton Harris;45;2009-04-05
Corporate;Sr. Manger;Avery Dominguez;27;2019-09-13
Speciality Products;Sr. Manger;Grace Carter;25;2021-03-17
Corporate;Sr. Manger;Sadie Lee;65;2000-10-24
Research & Development;Manager;Charlotte Chang;50;2000-05-07
Corporate;Director;Natalie Carter;64;2012-12-21
Manufacturing;Manager;Elena Richardson;34;2014-10-03
Speciality Products;Vice President;Emilia Bailey;41;2012-08-09
Speciality Products;Director;Kinsley Martinez;52;1993-08-28
Manufacturing;Cloud Infrastructure Architect;Paisley Bryant;37;2016-04-27
Speciality Products;Sr. Manger;Eliza Liang;36;2010-03-11
Corporate;Manager;Zoe Zhou;61;2009-10-06
Research & Development;Account Representative;Hailey Hong;33;2021-01-22
Speciality Products;Computer Systems Manager;Gabriella Zhu;36;2014-11-29
Corporate;Director;Samantha Vargas;53;2006-07-21
Manufacturing;Sr. Manger;Nora Le;53;1997-04-12
Manufacturing;Director;Alice Roberts;54;1994-09-26
Manufacturing;Sr. Analyst;Stella Lai;44;2021-04-28
Speciality Products;Network Architect;Penelope Silva;36;2016-11-03
Research & Development;Development Engineer;Eleanor Chau;37;2020-03-08
Research & Development;Network Administrator;Isabella Scott;58;2016-04-26
Corporate;Network Administrator;Madison Hunter;40;2012-02-05
Speciality Products;Controls Engineer;Maya Chan;37;2013-02-13
Manufacturing;Manager;Sofia Fernandez;44;2005-10-17
Speciality Products;Manager;Hannah Hoang;25;2021-12-15
Speciality Products;Sr. Analyst;Violet Garcia;35;2017-01-10
Speciality Products;Vice President;Aaliyah Mai;57;2016-11-11
Corporate;Director;Maria Sun;25;2021-12-19
Research & Development;Sr. Manger;Madelyn Scott;46;2002-01-09
Corporate;Field Engineer;Emery Zhang;45;2012-02-28
Speciality Products;Director;Riley Washington;39;2007-04-29
Manufacturing;Vice President;Raelynn Rios;43;2016-08-21
Manufacturing;Director;Audrey Richardson;46;2018-10-06
Corporate;Systems Analyst;Scarlett Kumar;55;2009-01-07
Speciality Products;Analyst;Lillian Khan;44;2010-05-31
Speciality Products;Sr. Analyst;Lily Nguyen;33;2012-01-28
Corporate;Vice President;Sofia Cheng;63;2020-07-26
